,종목코드,종목명,종류
1284,040910,아이씨디,KOSDAQ
1285,068940,아이씨케이,KOSDAQ
1286,052860,아이앤씨,KOSDAQ
1287,010780,아이에스동서,KOSPI
1288,069920,아이에스이커머스,KOSDAQ
1289,038880,아이에이,KOSDAQ
1290,101390,아이엠,KOSDAQ
1291,226350,아이엠텍,KOSDAQ
1292,078860,아이오케이,KOSDAQ
1293,114810,아이원스,KOSDAQ
1294,031310,아이즈비전,KOSDAQ
1295,139050,아이지스시스템,KOSDAQ
1296,185490,아이진,KOSDAQ
1297,059100,아이컴포넌트,KOSDAQ
1298,039570,아이콘트롤스,KOSPI
1299,052460,아이크래프트,KOSDAQ
1300,089530,아이테스트,KOSDAQ
1301,119830,아이텍반도체,KOSDAQ
1302,124500,아이티센,KOSDAQ
1303,033660,아주캐피탈,KOSPI
1304,032080,아즈텍WB,KOSDAQ
1305,013310,아진산업,KOSDAQ
1306,059120,아진엑스텍,KOSDAQ
1307,023890,아트라스BX,KOSDAQ
1308,101140,아티스,KOSPI
1309,067160,아프리카TV,KOSDAQ
1310,001540,안국약품,KOSDAQ
1311,053800,안랩,KOSDAQ
1312,065660,안트로젠,KOSDAQ
1313,001780,알루코,KOSPI
1314,002250,알보젠코리아,KOSPI
1315,096610,알에프세미,KOSDAQ
1316,061040,알에프텍,KOSDAQ
1317,148250,알엔투테크놀로지,KOSDAQ
1318,196170,알테오젠,KOSDAQ
1319,123750,알톤스포츠,KOSDAQ
1320,085810,알티캐스트,KOSDAQ
1321,007630,암니스,KOSPI
1322,161000,애경유화,KOSPI
1323,196300,애니젠,KOSDAQ
1324,205500,액션스퀘어,KOSDAQ
1325,052790,액토즈소프트,KOSDAQ
1326,131400,액트,KOSDAQ
1327,238090,앤디포스,KOSDAQ
1328,030960,양지사,KOSDAQ
1329,102120,어보브반도체,KOSDAQ
1330,019990,에너토크,KOSDAQ
1331,011090,에넥스,KOSPI
1332,025980,에머슨퍼시픽,KOSDAQ
1333,041440,에버다임,KOSDAQ
1334,038680,에스넷,KOSDAQ
1335,121890,에스디시스템,KOSDAQ
1336,030270,에스마크,KOSDAQ
1337,097780,에스맥,KOSDAQ
1338,042110,에스씨디,KOSDAQ
1339,065420,에스아이리소스,KOSDAQ
1340,050320,에스아이티글로벌,KOSDAQ
1341,103230,에스앤더블류,KOSDAQ
1342,900080,에스앤씨엔진그룹,KOSDAQ
1343,101490,에스앤에스텍,KOSDAQ
1344,095910,에스에너지,KOSDAQ
1345,036500,에스에스컴텍,KOSDAQ
1346,031330,에스에이엠티,KOSDAQ
1347,060540,에스에이티,KOSDAQ
1348,112240,에스에프씨,KOSDAQ
1349,056190,에스에프에이,KOSDAQ
1350,080000,에스엔유,KOSDAQ
1351,160600,에스엔텍,KOSDAQ
1352,005850,에스엘,KOSPI
1353,041510,에스엠,KOSDAQ
1354,007820,에스엠코어,KOSDAQ
1355,109610,에스와이패널,KOSDAQ
1356,012750,에스원,KOSPI
1357,114570,에스이티아이,KOSDAQ
1358,096630,에스코넥,KOSDAQ
1359,069510,에스텍,KOSDAQ
1360,041910,에스텍파마,KOSDAQ
1361,039440,에스티아이,KOSDAQ
1362,098660,에스티오,KOSDAQ
1363,052020,에스티큐브,KOSDAQ
1364,237690,에스티팜,KOSDAQ
1365,050760,에스폴리텍,KOSDAQ
1366,058610,에스피지,KOSDAQ
1367,043340,에쎈테크,KOSDAQ
1368,023960,에쓰씨엔지니어링,KOSPI
1369,054630,에이디칩스,KOSDAQ
1370,200710,에이디테크놀로지,KOSDAQ
1371,078520,에이블씨엔씨,KOSPI
1372,003800,에이스침대,KOSDAQ
1373,088800,에이스테크,KOSDAQ
1374,138360,에이씨티,KOSDAQ
1375,015260,에이엔피,KOSPI
1376,072990,에이치시티,KOSDAQ
1377,176440,에이치엔티,KOSDAQ
1378,028300,에이치엘비,KOSDAQ
1379,067630,에이치엘비생명과학,KOSDAQ
1380,239610,에이치엘사이언스,KOSDAQ
1381,226340,에이치엠씨3호스팩,KOSDAQ
1382,044780,에이치케이,KOSDAQ
1383,071670,에이테크솔루션,KOSDAQ
1384,045660,에이텍,KOSDAQ
1385,224110,에이텍티앤,KOSDAQ
1386,021080,에이티넘인베스트,KOSDAQ
1387,182400,에이티젠,KOSDAQ
1388,109960,에이프로젠 H&G,KOSDAQ
1389,003060,에이프로젠제약,KOSPI
1390,043580,에임하이,KOSDAQ
1391,214870,에치디프로,KOSDAQ
1392,230360,에코마케팅,KOSDAQ
1393,038870,에코바이오,KOSDAQ
1394,086520,에코프로,KOSDAQ
1395,038110,에코플라스틱,KOSDAQ
